tempo;regiao_de_saude_de_notificacao;residencia_nut_iii;doenca_de_declaracao_obrigatoria;sexo;grupo_etario;no_de_casos_notificados
2018-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Infecao por Chlamydia Trachomatis - Excluindo Linfogranuloma Venereo;Masculino;25-34 anos;1
2015-04;Regiao de Saude Norte;Regiao de Aveiro;Parotidite Epidemica;Masculino;5-14 anos;1
2015-04;Regiao de Saude do Centro;Regiao de Aveiro;Sifilis - Excluindo Sifilis Congenita;Feminino;45-54 anos;1
2015-11;Regiao de Saude Norte;Regiao de Aveiro;Tosse Convulsa;Masculino;<1 ano;1
2017-07;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;25-34 anos;1
2015-05;Regiao de Saude do Centro;Regiao de Coimbra;Doenca dos Legionarios;Feminino;75 ou + anos;1
2015-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2015-05;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Feminino;75 ou + anos;1
2018-06;Regiao de Saude LVT;Area Metropolitana de Lisboa;Febre escaro-nodular (Rickettsiose);Feminino;45-54 anos;1
2018-03;RA Madeira;Regiao Autonoma da Madeira;Sifilis - Excluindo Sifilis Congenita;Masculino;65-74 anos;1
2015-05;Regiao de Saude do Centro;Viseu Dao Lafoes;Sifilis - Excluindo Sifilis Congenita;Feminino;25-34 anos;1
2018-03;Regiao de Saude Norte;Area Metropolitana do Porto;Sarampo;Feminino;25-34 anos;2
2017-08;Regiao de Saude do Centro;Regiao de Aveiro;Sifilis - Excluindo Sifilis Congenita;Masculino;35-44 anos;1
2018-06;Regiao de Saude LVT;Area Metropolitana de Lisboa;Sifilis - Excluindo Sifilis Congenita;Masculino;25-34 anos;1
2017-08;Regiao de Saude LVT;Area Metropolitana de Lisboa;Gonorreia;Masculino;15-24 anos;1
